#
# file: pedgrp.dat
# description: contains the list of ped groups for each group type. Each ped
#	group should contain 32 ped type names. Please dont use 'male01' in any of the pedgroups
#

 	  
HMOGAR, WMYCON, WMYCONB, WMYMECH, WMYSGRD      	# POPCYCLE_GROUP_WORKERS
WMYCON, WMYCONB, WMYSGRD, SWMOCD, HMOGAR  		# POPCYCLE_GROUP_WORKERS (SF)
WMYCON, WMYCONB, HMOGAR, WMYSGRD, VBMOCD		# POPCYCLE_GROUP_WORKERS (VEGAS)

BMYRI, BMYBU, BFYBU, BFYRI, BMYRI, BFYRI, HFYRI, HMYRI, HFYRI, HMYRI, OMYRI, OMYRI, SOFYBU, WFYRI,WMYRI, WMYBU, WFYBU  						# POPCYCLE_GROUP_BUSINESS
SBMYRI, SOMOBU, SOMYBU, BMYBU, BFYBU, SBFYRI, SBMYRI, HFYRI, HMYRI, HFYRI, HMYRI, SOMYRI, SOMYRI, SOFYBU, SWFYRI, SWMYRI, WMYBU, WFYBU		# POPCYCLE_GROUP_BUSINESS (SF)
BMYRI, BMYBU, BFYBU, BFYRI, BMYRI, BFYRI, HFYRI, HMYRI, HFYRI, HMYRI, OMYRI, OMYRI, WFYRI,WMYRI, WMYBU, WFYBU  								# POPCYCLE_GROUP_BUSINESS (VEGAS)

BFYRI, BMYRI, BMYST, OMOST, OMYST, OFYST, WMYST, WFYST, HFYRI, HMYRI, OMYRI, WFYRI, WMYRI, WMYBOUN 								# POPCYCLE_GROUP_CLUBBERS
SWMYHP1, SWMYHP2, SBMYST, SOMOST, OMYST, SOFYST, SWMYST, SWFYST, SBFYRI, SBMYRI, HFYRI, HMYRI, SOMYRI, SWFYRI, SWMYRI, WMYBOUN 	# POPCYCLE_GROUP_CLUBBERS (SF)
BMYST, OMOST, OMYST, OFYST, WMYST, WFYST, BFYRI, BMYRI, HFYRI, HMYRI, OMYRI, WFYRI, WMYRI, WMYBOUN 								# POPCYCLE_GROUP_CLUBBERS (VEGAS)

CWFOFR, CWFOHB, CWFYFR1, CWFYFR2, CWFYHB, CWMOFR, CWMOHB1, CWMOHB2, CWMYFR, CWMYHB1, CWMYHB2	# POPCYCLE_GROUP_FARMERS

BFYBE, BMYBE, HFYBE, HMYBE, WFYBE, WMYBE, WFYRO, WMYRO, WFYLG	# POPCYCLE_GROUP_BEACHFOLK

WMYJG, WFYJG, WMYBP, BMYMOUN, WMYMOUN, BFYBE, HFYBE			# POPCYCLE_GROUP_PARKFOLK
